date,time,high,residual
2015-01-06,15:45:00,0.193,-0.228
2015-01-06,16:00:00,0.222,-0.217
2015-01-06,16:15:00,0.312,-0.188
2015-01-06,16:30:00,0.436,-0.165
2015-01-06,16:45:00,0.58,-0.157
2015-01-06,17:00:00,0.754,-0.142
2015-01-06,17:15:00,0.91,-0.157
2015-01-06,17:30:00,1.073,-0.166
2015-01-06,17:45:00,1.237,-0.166
2015-01-06,18:00:00,1.4,-0.154
2015-01-06,18:15:00,1.549,-0.138
2015-01-06,18:30:00,1.658,-0.141
2015-01-06,18:45:00,1.75,-0.137
2015-01-06,19:00:00,1.796,-0.154
2015-01-06,19:15:00,1.808,-0.18
2015-01-06,19:30:00,1.827,-0.179
2015-01-06,19:45:00,1.84,-0.168
2015-01-06,20:00:00,1.849,-0.149
2015-01-06,20:15:00,1.823,-0.158
2015-01-06,20:30:00,1.796,-0.158
2015-01-06,20:45:00,1.77,-0.147
2015-01-06,21:00:00,1.723,-0.145
2015-01-06,21:15:00,1.661,-0.144
2015-01-06,21:30:00,1.585,-0.142
2015-01-06,21:45:00,1.493,-0.144
2015-01-06,22:00:00,1.377,-0.156
2015-01-06,22:15:00,1.253,-0.163
2015-01-06,22:30:00,1.109,-0.177
2015-01-06,22:45:00,0.967,-0.174
2015-01-06,23:00:00,0.825,-0.159
2015-01-06,23:15:00,0.691,-0.132
2015-01-06,23:30:00,0.549,-0.121
2015-01-06,23:45:00,0.424,-0.115
2015-01-07,00:00:00,0.312,-0.133
2015-01-07,00:15:00,0.245,-0.151
2015-01-07,00:30:00,0.216,-0.174
2015-01-07,00:45:00,0.296,-0.126
2015-01-07,01:00:00,0.371,-0.107
2015-01-07,01:15:00,0.489,-0.055
2015-01-07,01:30:00,0.559,-0.049
2015-01-07,01:45:00,0.55,-0.113
2015-01-07,02:00:00,0.563,-0.144
2015-01-07,02:15:00,0.587,-0.153
2015-01-07,02:30:00,0.595,-0.166
2015-01-07,02:45:00,0.615,-0.155
2015-01-07,03:00:00,0.614,-0.152
2015-01-07,03:15:00,0.596,-0.153
2015-01-07,03:30:00,0.567,-0.159
2015-01-07,03:45:00,0.572,-0.132
2015-01-07,04:00:00,0.568,-0.129
2015-01-07,04:15:00,0.597,-0.12
2015-01-07,04:30:00,0.662,-0.11
2015-01-07,04:45:00,0.784,-0.081
2015-01-07,05:00:00,0.932,-0.059
2015-01-07,05:15:00,1.089,-0.052
2015-01-07,05:30:00,1.264,-0.04
2015-01-07,05:45:00,1.429,-0.041
2015-01-07,06:00:00,1.602,-0.029
2015-01-07,06:15:00,1.775,-0.004
2015-01-07,06:30:00,1.911,0.001
2015-01-07,06:45:00,2.037,0.016
2015-01-07,07:00:00,2.128,0.018
2015-01-07,07:15:00,2.172,-0.001
2015-01-07,07:30:00,2.201,-0.011
2015-01-07,07:45:00,2.218,-0.011
2015-01-07,08:00:00,2.233,0.006
2015-01-07,08:15:00,2.211,0
2015-01-07,08:30:00,2.199,0.016
2015-01-07,08:45:00,2.169,0.024
2015-01-07,09:00:00,2.112,0.018
2015-01-07,09:15:00,2.05,0.019
2015-01-07,09:30:00,1.984,0.03
2015-01-07,09:45:00,1.899,0.035
2015-01-07,10:00:00,1.787,0.025
2015-01-07,10:15:00,1.659,0.011
2015-01-07,10:30:00,1.525,0.001
2015-01-07,10:45:00,1.361,-0.028
2015-01-07,11:00:00,1.192,-0.049
2015-01-07,11:15:00,1.045,-0.038
2015-01-07,11:30:00,0.898,-0.023
2015-01-07,11:45:00,0.752,-0.012
2015-01-07,12:00:00,0.606,-0.022
2015-01-07,12:15:00,0.484,-0.039
2015-01-07,12:30:00,0.396,-0.063
2015-01-07,12:45:00,0.359,-0.077
2015-01-07,13:00:00,0.379,-0.069
2015-01-07,13:15:00,0.458,-0.025
2015-01-07,13:30:00,0.541,0.013
2015-01-07,13:45:00,0.584,0.014
2015-01-07,14:00:00,0.583,-0.019
2015-01-07,14:15:00,0.549,-0.073
2015-01-07,14:30:00,0.564,-0.065
2015-01-07,14:45:00,0.561,-0.064
2015-01-07,15:00:00,0.537,-0.073
2015-01-07,15:15:00,0.503,-0.081
2015-01-07,15:30:00,0.47,-0.08
2015-01-07,15:45:00,0.427,-0.083
