BRC names,BRC number,Type,Sym
Eleocharis quinqueflora,920677,h,
Eleocharis spp.,9204529,h,
Eleocharis uniglumis,920678,h,
Eleogiton fluitans,920679,h,
Elodea callitrichoides,920680,h,
Elodea canadensis,920681,h,
Elodea nuttallii,920997,h,
Elodea sp.,9204619,h,
Elymus caninus,9207006,h,
Elymus sp.,9204884,h,
Elytrigia atherica,92032,h,
Elytrigia atherica x juncea (E. x obtusiuscula),92029,h,
Elytrigia atherica x repens (E. x oliveri),9202908,h,
Elytrigia juncea,92028,h,
Elytrigia repens,92033,h,
Empetrum nigrum,920684,h,
Empetrum nigrum subsp.hermaphroditum,920683,h,
Empetrum nigrum subsp.nigrum,920685,h,
Epilobium alsinifolium,920690,h,
Epilobium anagallidifolium,920691,h,
Epilobium brunnescens,920699,h,
Epilobium ciliatum,920688,h,
Epilobium ciliatum x tetragonum,9202783,h,
Epilobium hirsutum,920692,h,
Epilobium lanceolatum,920694,h,
Epilobium montanum,920695,h,
Epilobium obscurum,920696,h,
Epilobium palustre,920697,h,
Epilobium parviflorum,920698,h,
Epilobium roseum,920700,h,
Epilobium sp.,9204530,h,
Epilobium tetragon/obscurum,200001439,h,
Epilobium tetragonum,9207292,h,
Epilobium tetragonum tetragonum,920689,h,
Epimedium alpinum,920701,h,
Epipactis atrorubens,920702,h,
Epipactis dunensis,920704,h,
Epipactis helleborine,920705,h,
Epipactis leptochila,9205476,h,
Epipactis palustris,920708,h,
Epipactis phyllanthes,920709,h,
Epipactis purpurata,920710,h,
Epipactis youngiana,9202549,h,
Epipogium aphyllum,920711,h,
Equisetum arvense,910712,f,n
Equisetum arvense x fluviatile (E. x litorale),910715,f,n
Equisetum arvense x palustre (E. x rothmaleri),9102592,f,
Equisetum arvense/palustre,200001491,h,
Equisetum fluviatile,910713,f,n
Equisetum hyemale,910714,f,n
Equisetum hyemale x ramosissimum (E. x moorei),910716,f,n
Equisetum hyemale x variegatum (E. x trachyodon),910722,f,n
Equisetum palustre,910717,f,n
Equisetum pratense,910718,f,n
Equisetum ramosissimum,910719,f,n
Equisetum sp.,9104635,f,
Equisetum sylvaticum,910720,f,n
Equisetum telmateia,910721,f,n
Equisetum variegatum,910723,f,n
Eranthis hyemalis,920724,h,
Erica ciliaris,920725,s,er
Erica cinerea,920726,s,er
Erica erigena,920729,s,er
Erica lusitanica,920727,s,er
Erica mackaiana,920728,s,er
Erica tetralix,920731,s,er
Erica vagans,920732,s,er
Erigeron acer,920733,h,
