Column3,Column4,Column5
[lng]) VALUES ('BT33','54.22095','-5.89385')
[lng]) VALUES ('BT34','54.15466','-6.18034')
[lng]) VALUES ('BT35','54.16501','-6.44355')
[lng]) VALUES ('BT36','54.67682','-5.95448')
[lng]) VALUES ('BT37','54.67658','-5.90634')
[lng]) VALUES ('BT38','54.72950','-5.79799')
,,
[lng]) VALUES ('BT39','54.74491','-6.01710')
[lng]) VALUES ('BT4','54.60230','-5.86668')
[lng]) VALUES ('BT40','54.84659','-5.82146')
[lng]) VALUES ('BT41','54.73301','-6.25997')
[lng]) VALUES ('BT42','54.85458','-6.28215')
[lng]) VALUES ('BT43','54.89024','-6.26565')
[lng]) VALUES ('BT44','54.97416','-6.28394')
[lng]) VALUES ('BT45','54.76045','-6.63935')
[lng]) VALUES ('BT46','54.86568','-6.66393')
[lng]) VALUES ('BT47','54.97386','-7.21151')
[lng]) VALUES ('BT48','55.00933','-7.32731')
[lng]) VALUES ('BT49','55.04774','-6.95153')
[lng]) VALUES ('BT5','54.58870','-5.87004')
[lng]) VALUES ('BT51','55.05761','-6.68000')
[lng]) VALUES ('BT52','55.13423','-6.65285')
[lng]) VALUES ('BT53','55.08519','-6.47305')
[lng]) VALUES ('BT54','55.19997','-6.25787')
[lng]) VALUES ('BT55','55.17971','-6.71005')
[lng]) VALUES ('BT56','55.19824','-6.64932')
[lng]) VALUES ('BT57','55.20140','-6.51755')
,,
[lng]) VALUES ('BT6','54.57974','-5.89706')
[lng]) VALUES ('BT60','54.29219','-6.64951')
[lng]) VALUES ('BT61','54.36790','-6.62264')
[lng]) VALUES ('BT62','54.41256','-6.46416')
[lng]) VALUES ('BT63','54.40362','-6.38916')
[lng]) VALUES ('BT64','54.44938','-6.39252')
[lng]) VALUES ('BT65','54.44496','-6.36581')
[lng]) VALUES ('BT66','54.45514','-6.33292')
[lng]) VALUES ('BT67','54.48713','-6.26832')
[lng]) VALUES ('BT68','54.36626','-6.84743')
[lng]) VALUES ('BT69','54.42425','-6.94843')
[lng]) VALUES ('BT7','54.58158','-5.92356')
[lng]) VALUES ('BT70','54.51495','-6.88672')
[lng]) VALUES ('BT71','54.51322','-6.70402')
[lng]) VALUES ('BT74','54.34320','-7.66425')
[lng]) VALUES ('BT75','54.37531','-7.31559')
[lng]) VALUES ('BT76','54.41941','-7.19167')
[lng]) VALUES ('BT77','54.42711','-7.11701')
[lng]) VALUES ('BT78','54.57165','-7.37371')
[lng]) VALUES ('BT79','54.62422','-7.20073')
,,
[lng]) VALUES ('BT8','54.53994','-5.90409')
[lng]) VALUES ('BT80','54.64464','-6.74869')
[lng]) VALUES ('BT81','54.69395','-7.61369')
[lng]) VALUES ('BT82','54.82576','-7.42777')
[lng]) VALUES ('BT9','54.57176','-5.94894')
[lng]) VALUES ('BT92','54.22294','-7.46184')
[lng]) VALUES ('BT93','54.46510','-7.82640')
[lng]) VALUES ('BT94','54.37595','-7.54078')
[lng]) VALUES ('CA1','54.88535','-2.91046')
[lng]) VALUES ('CA10','54.61104','-2.65966')
[lng]) VALUES ('CA11','54.66422','-2.78611')
[lng]) VALUES ('CA12','54.60214','-3.13326')
[lng]) VALUES ('CA13','54.65997','-3.36589')
[lng]) VALUES ('CA14','54.63454','-3.53704')
[lng]) VALUES ('CA15','54.71165','-3.48096')
[lng]) VALUES ('CA16','54.57413','-2.48269')
[lng]) VALUES ('CA17','54.47841','-2.35037')
[lng]) VALUES ('CA18','54.35408','-3.38958')
[lng]) VALUES ('CA19','54.38651','-3.38297')
[lng]) VALUES ('CA2','54.88415','-2.94940')
,,
[lng]) VALUES ('CA20','54.40987','-3.46081')
[lng]) VALUES ('CA21','54.44516','-3.51451')
[lng]) VALUES ('CA22','54.48001','-3.53123')
[lng]) VALUES ('CA23','54.51465','-3.49236')
[lng]) VALUES ('CA24','54.51493','-3.54181')
[lng]) VALUES ('CA25','54.52243','-3.51737')
[lng]) VALUES ('CA26','54.54445','-3.48108')
[lng]) VALUES ('CA27','54.49091','-3.59186')
[lng]) VALUES ('CA28','54.54324','-3.57689')
[lng]) VALUES ('CA3','54.90760','-2.93904')
[lng]) VALUES ('CA4','54.84636','-2.83326')
[lng]) VALUES ('CA5','54.85485','-3.01570')
[lng]) VALUES ('CA6','54.99423','-2.89260')
[lng]) VALUES ('CA7','54.80696','-3.23702')
[lng]) VALUES ('CA8','54.93895','-2.68531')
[lng]) VALUES ('CA9','54.80176','-2.41850')
[lng]) VALUES ('CB1','52.17611','0.18955')
[lng]) VALUES ('CB10','52.02989','0.26551')
[lng]) VALUES ('CB11','51.99938','0.21443')
[lng]) VALUES ('CB2','52.16276','0.13333')
,,
[lng]) VALUES ('CB21','52.13194','0.29553')
[lng]) VALUES ('CB22','52.12718','0.12898')
[lng]) VALUES ('CB23','52.21349','-0.02215')
[lng]) VALUES ('CB24','52.31538','0.02762')
[lng]) VALUES ('CB25','52.26083','0.23615')
[lng]) VALUES ('CB3','52.21324','0.02448')
[lng]) VALUES ('CB4','52.24312','0.11521')
[lng]) VALUES ('CB5','52.23868','0.21021')
[lng]) VALUES ('CB6','52.40388','0.22434')
[lng]) VALUES ('CB7','52.36606','0.32087')
[lng]) VALUES ('CB8','52.23083','0.42659')
[lng]) VALUES ('CB9','52.08212','0.44187')
[lng]) VALUES ('CF10','51.47387','-3.17648')
[lng]) VALUES ('CF11','51.47281','-3.19229')
[lng]) VALUES ('CF14','51.51947','-3.20216')
[lng]) VALUES ('CF15','51.53401','-3.27319')
[lng]) VALUES ('CF23','51.51550','-3.15016')
[lng]) VALUES ('CF24','51.48479','-3.16379')
[lng]) VALUES ('CF3','51.51947','-3.11134')
[lng]) VALUES ('CF31','51.50876','-3.57514')
,,
[lng]) VALUES ('CF32','51.55992','-3.58268')
[lng]) VALUES ('CF33','51.52424','-3.69101')
[lng]) VALUES ('CF34','51.61024','-3.65087')
[lng]) VALUES ('CF35','51.52211','-3.51793')
[lng]) VALUES ('CF36','51.48456','-3.69818')
[lng]) VALUES ('CF37','51.60260','-3.33288')
[lng]) VALUES ('CF38','51.56034','-3.33164')
[lng]) VALUES ('CF39','51.60153','-3.42382')
[lng]) VALUES ('CF40','51.62009','-3.45041')
[lng]) VALUES ('CF41','51.64758','-3.48164')
[lng]) VALUES ('CF42','51.66685','-3.52132')
[lng]) VALUES ('CF43','51.65788','-3.44872')
[lng]) VALUES ('CF44','51.71802','-3.45788')
[lng]) VALUES ('CF45','51.66882','-3.36085')
[lng]) VALUES ('CF46','51.66501','-3.30000')
[lng]) VALUES ('CF47','51.75139','-3.37492')
[lng]) VALUES ('CF48','51.74067','-3.36880')
[lng]) VALUES ('CF5','51.48219','-3.24150')
[lng]) VALUES ('CF61','51.40748','-3.47962')
[lng]) VALUES ('CF62','51.40412','-3.30841')
,,
[lng]) VALUES ('CF63','51.41190','-3.25542')
[lng]) VALUES ('CF64','51.43328','-3.18838')
[lng]) VALUES ('CF71','51.46176','-3.45402')
[lng]) VALUES ('CF72','51.52989','-3.39852')
[lng]) VALUES ('CF81','51.69980','-3.24311')
[lng]) VALUES ('CF82','51.65132','-3.23600')
[lng]) VALUES ('CF83','51.58587','-3.21690')
[lng]) VALUES ('CH1','53.20173','-2.90732')
[lng]) VALUES ('CH2','53.21640','-2.86869')
[lng]) VALUES ('CH3','53.16640','-2.82130')
[lng]) VALUES ('CH4','53.16823','-2.93803')
[lng]) VALUES ('CH41','53.39402','-3.03022')
[lng]) VALUES ('CH42','53.37433','-3.02073')
[lng]) VALUES ('CH43','53.38299','-3.05853')
[lng]) VALUES ('CH44','53.41554','-3.03676')
[lng]) VALUES ('CH45','53.42801','-3.05061')
[lng]) VALUES ('CH46','53.40319','-3.11018')
[lng]) VALUES ('CH47','53.39634','-3.16866')
[lng]) VALUES ('CH48','53.37116','-3.16947')
[lng]) VALUES ('CH49','53.38079','-3.10208')
,,
[lng]) VALUES ('CH5','53.20424','-3.04064')
[lng]) VALUES ('CH6','53.25003','-3.14518')
[lng]) VALUES ('CH60','53.32602','-3.09466')
[lng]) VALUES ('CH61','53.34754','-3.10122')
[lng]) VALUES ('CH62','53.33421','-2.98072')
[lng]) VALUES ('CH63','53.34474','-3.01101')
[lng]) VALUES ('CH64','53.28779','-3.04717')
[lng]) VALUES ('CH65','53.27729','-2.90142')
[lng]) VALUES ('CH66','53.27704','-2.93442')
[lng]) VALUES ('CH7','53.16924','-3.13256')
[lng]) VALUES ('CH8','53.28144','-3.24053')
[lng]) VALUES ('CM0','51.66221','0.83719')
[lng]) VALUES ('CM1','51.74454','0.45694')
[lng]) VALUES ('CM11','51.62335','0.44605')
[lng]) VALUES ('CM12','51.62757','0.41593')
[lng]) VALUES ('CM13','51.61564','0.33872')
[lng]) VALUES ('CM14','51.61835','0.29263')
[lng]) VALUES ('CM15','51.64328','0.30545')
[lng]) VALUES ('CM16','51.69981','0.12161')
[lng]) VALUES ('CM17','51.77043','0.14522')
,,
[lng]) VALUES ('CM18','51.75584','0.10685')
[lng]) VALUES ('CM19','51.76000','0.07515')
[lng]) VALUES ('CM2','51.72141','0.48754')
[lng]) VALUES ('CM20','51.77476','0.10483')
[lng]) VALUES ('CM21','51.81177','0.14718')
[lng]) VALUES ('CM22','51.86164','0.22218')
[lng]) VALUES ('CM23','51.87178','0.16021')
[lng]) VALUES ('CM24','51.89880','0.20657')
[lng]) VALUES ('CM3','51.71932','0.58445')
[lng]) VALUES ('CM4','51.67392','0.39235')
[lng]) VALUES ('CM5','51.72083','0.24857')
[lng]) VALUES ('CM6','51.87680','0.36678')
[lng]) VALUES ('CM7','51.89752','0.53797')
[lng]) VALUES ('CM77','51.86224','0.52554')
[lng]) VALUES ('CM8','51.80536','0.63870')
[lng]) VALUES ('CM9','51.74097','0.70159')
[lng]) VALUES ('CO1','51.88891','0.90960')
[lng]) VALUES ('CO10','52.05706','0.72355')
[lng]) VALUES ('CO11','51.94126','1.07890')
[lng]) VALUES ('CO12','51.93115','1.25427')
,,
[lng]) VALUES ('CO13','51.83802','1.23884')
[lng]) VALUES ('CO14','51.84979','1.26873')
[lng]) VALUES ('CO15','51.79620','1.15605')
[lng]) VALUES ('CO16','51.82039','1.12580')
[lng]) VALUES ('CO2','51.86947','0.89527')
[lng]) VALUES ('CO3','51.88466','0.86281')
[lng]) VALUES ('CO4','51.90654','0.92383')
[lng]) VALUES ('CO5','51.81459','0.82209')
[lng]) VALUES ('CO6','51.92419','0.78968')
[lng]) VALUES ('CO7','51.88380','1.00520')
[lng]) VALUES ('CO8','51.97328','0.76797')
[lng]) VALUES ('CO9','51.96878','0.61043')
[lng]) VALUES ('CR0','51.37223','-0.07463')
[lng]) VALUES ('CR2','51.34983','-0.07988')
[lng]) VALUES ('CR3','51.28687','-0.07964')
[lng]) VALUES ('CR4','51.40415','-0.15813')
[lng]) VALUES ('CR5','51.31211','-0.13886')
[lng]) VALUES ('CR6','51.30799','-0.05149')
[lng]) VALUES ('CR7','51.39517','-0.10242')
