SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names
95,2,9205,2,1,2,Acer pseudoplatanus
95,2,920569,2,1,2,Crataegus monogyna
95,2,920810,2,1,2,Fagus sylvatica
95,2,920841,2,1,2,Fraxinus excelsior (c)
95,2,9204446,2,1,2,Quercus seedling/sp
95,2,9201960,2,3,2,Sorbus aucuparia
95,2,9201023,2,4,2,Ilex aquifolium
95,2,9204445,2,8,2,Betula seedling/sp
95,2,9205,3,1,2,Acer pseudoplatanus
95,2,920841,3,1,2,Fraxinus excelsior (c)
95,2,9201960,3,1,2,Sorbus aucuparia
95,2,9204445,3,7,2,Betula seedling/sp
95,2,9205,4,1,2,Acer pseudoplatanus
95,2,9204445,4,2,2,Betula seedling/sp
95,3,9201815,1,2,2,Sambucus nigra
95,3,9204446,1,2,2,Quercus seedling/sp
95,3,9201960,2,1,2,Sorbus aucuparia
95,3,9205,2,3,2,Acer pseudoplatanus
95,3,9201815,2,4,2,Sambucus nigra
95,3,9204446,2,4,2,Quercus seedling/sp
95,3,9204445,2,6,2,Betula seedling/sp
95,3,9205,3,2,2,Acer pseudoplatanus
95,3,9204445,3,3,2,Betula seedling/sp
95,3,9204446,3,4,2,Quercus seedling/sp
95,3,9201614,4,2,2,Prunus domestica
95,3,9204445,4,3,2,Betula seedling/sp
95,3,9204442,5,1,2,Larix sp.
95,3,9205,5,2,2,Acer pseudoplatanus
95,4,9204446,2,1,2,Quercus seedling/sp
95,4,9204445,2,13,2,Betula seedling/sp
95,4,9205,2,14,2,Acer pseudoplatanus
95,4,9205,3,1,2,Acer pseudoplatanus
95,4,9204445,3,8,2,Betula seedling/sp
95,4,9205,4,1,2,Acer pseudoplatanus
95,4,9204445,4,1,2,Betula seedling/sp
95,4,9204442,5,1,2,Larix sp.
95,5,9201960,1,6,2,Sorbus aucuparia
95,5,9205,1,62,2,Acer pseudoplatanus
95,5,9204445,2,3,2,Betula seedling/sp
95,5,9205,3,1,2,Acer pseudoplatanus
95,5,9204445,3,5,2,Betula seedling/sp
95,5,9204442,5,1,2,Larix sp.
95,6,9201960,1,1,2,Sorbus aucuparia
95,6,9205,1,2,2,Acer pseudoplatanus
95,6,9201960,1,2,2,Sorbus aucuparia
95,6,9204445,1,6,2,Betula seedling/sp
95,6,920557,1,96,2,Corylus avellana
95,6,920810,2,1,2,Fagus sylvatica
95,6,9204446,2,1,2,Quercus seedling/sp
95,6,9201960,2,2,2,Sorbus aucuparia
95,6,9205,2,6,2,Acer pseudoplatanus
95,6,920557,2,6,2,Corylus avellana
95,6,9204445,2,12,2,Betula seedling/sp
95,6,9205,3,1,2,Acer pseudoplatanus
95,6,9204445,3,11,2,Betula seedling/sp
95,6,9204442,4,1,2,Larix sp.
95,6,9204445,4,2,2,Betula seedling/sp
95,6,9204442,5,1,2,Larix sp.
95,7,9201960,1,1,2,Sorbus aucuparia
95,7,920810,1,2,2,Fagus sylvatica
95,7,9201960,1,2,2,Sorbus aucuparia
95,7,9204446,1,10,2,Quercus seedling/sp
95,7,9205,1,17,2,Acer pseudoplatanus
95,7,920557,1,30,2,Corylus avellana
95,7,9201023,1,84,2,Ilex aquifolium
95,7,9201023,2,1,2,Ilex aquifolium
95,7,9204445,2,1,2,Betula seedling/sp
95,7,920557,2,2,2,Corylus avellana
95,7,920810,2,2,2,Fagus sylvatica
95,7,9201960,2,2,2,Sorbus aucuparia
95,7,9201023,2,4,2,Ilex aquifolium
95,7,9204446,2,6,2,Quercus seedling/sp
95,7,9205,2,10,2,Acer pseudoplatanus
95,7,9205,3,1,2,Acer pseudoplatanus
95,7,9201960,3,1,2,Sorbus aucuparia
95,7,9204445,3,1,2,Betula seedling/sp
95,7,9201960,4,1,2,Sorbus aucuparia
95,7,9205,9,1,2,Acer pseudoplatanus
95,7,9204446,9,1,2,Quercus seedling/sp
95,7,9204446,11,1,2,Quercus seedling/sp
95,8,9204445,1,1,2,Betula seedling/sp
95,8,9205,1,2,2,Acer pseudoplatanus
95,8,9204445,1,6,2,Betula seedling/sp
95,8,920810,1,10,2,Fagus sylvatica
95,8,920557,1,118,2,Corylus avellana
95,8,9204442,2,1,2,Larix sp.
95,8,9205,2,5,2,Acer pseudoplatanus
95,8,9204445,2,9,2,Betula seedling/sp
95,8,9205,3,2,2,Acer pseudoplatanus
95,8,9204445,3,2,2,Betula seedling/sp
95,8,9204442,4,3,2,Larix sp.
95,8,9204442,5,1,2,Larix sp.
95,8,9204442,6,2,2,Larix sp.
95,9,9205,1,2,2,Acer pseudoplatanus
95,9,920569,1,2,2,Crataegus monogyna
95,9,9204445,1,2,2,Betula seedling/sp
95,9,920810,1,4,2,Fagus sylvatica
95,9,9201960,1,12,2,Sorbus aucuparia
95,9,920557,1,50,2,Corylus avellana
95,9,9201788,2,1,2,Salix caprea
95,9,920557,2,2,2,Corylus avellana
95,9,9201960,2,2,2,Sorbus aucuparia
95,9,9205,2,3,2,Acer pseudoplatanus
95,9,920810,2,3,2,Fagus sylvatica
95,9,9204445,2,19,2,Betula seedling/sp
95,9,9204445,3,2,2,Betula seedling/sp
95,9,920810,4,1,2,Fagus sylvatica
95,9,9204445,4,1,2,Betula seedling/sp
95,9,9204442,4,2,2,Larix sp.
95,9,920841,7,1,2,Fraxinus excelsior (c)
95,10,9205,1,2,2,Acer pseudoplatanus
95,10,9205178,1,2,2,Pseudotsuga spp.
95,10,9204445,1,2,2,Betula seedling/sp
95,10,9204446,1,2,2,Quercus seedling/sp
95,10,9201960,1,8,2,Sorbus aucuparia
95,10,9204445,1,10,2,Betula seedling/sp
95,10,920810,1,12,2,Fagus sylvatica
95,10,9205,2,3,2,Acer pseudoplatanus
95,10,9204445,2,4,2,Betula seedling/sp
95,10,9204446,2,5,2,Quercus seedling/sp
95,10,9204445,2,11,2,Betula seedling/sp
95,10,9205,3,1,2,Acer pseudoplatanus
95,10,9204445,3,8,2,Betula seedling/sp
95,10,9204442,4,1,2,Larix sp.
95,10,9204445,4,2,2,Betula seedling/sp
95,11,920569,1,2,2,Crataegus monogyna
95,11,9205178,1,2,2,Pseudotsuga spp.
95,11,9204445,1,2,2,Betula seedling/sp
95,11,920810,1,4,2,Fagus sylvatica
95,11,920841,1,4,2,Fraxinus excelsior (c)
95,11,9204446,1,4,2,Quercus seedling/sp
95,11,9201960,1,18,2,Sorbus aucuparia
95,11,9201023,1,22,2,Ilex aquifolium
95,11,920557,1,66,2,Corylus avellana
95,11,920810,2,1,2,Fagus sylvatica
95,11,920841,2,1,2,Fraxinus excelsior (c)
