Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
62,11,26,82.5,,,18.86657,4.987,,,OV27,am,o
62,12,12,102.5,,,20.07744,4.69,,,OV27,am,o
62,13,29,106.5,0,0.001963495,14.11306,5.435,15.70796327,1,OV27,am,o
62,14,4,16.5,3,0.873755457,21.55198,4.271,333.7942194,12,OV27,am,o
62,15,15,65,,2.88633825,12.71574,5.402,180.6415776,,W10,em,t
62,16,22,74.5,,0.48301987,21.22186,5.385,78.53981634,,W21,am,o
63,1,29,41.5,2,1.965458904,5.990622,5.688,235.619449,2,W21,am,o
63,2,17,71.5,2,3.628539515,7.618338,5.574,247.4004215,81,W21,am,o
63,3,20,14.5,2,3.381139093,8.855075,5.655,168.8606051,44,W8,am,t
63,4,21,75.5,2,0.536034247,6.707506,5.375,27.48893572,3,W21,am,o
63,5,18,20.5,1,0.398589568,9.9723,5.916,286.6703296,13,W21,am,o
63,6,9,9,3,2.856885819,9.956178,5.227,235.619449,6,OV27,am,o
63,7,16,14,0,0.219911486,1.634257,6.612,117.8097245,32,W6,d,w
63,8,4,42.5,1,0.329867229,10.20172,6.426,251.3274123,3,OV27,am,o
63,9,11,124.5,5,3.041454388,9.47332,6.592,443.7499623,17,OV27,am,o
63,10,4,6.5,0,1.458877089,9.408125,4.824,11.78097245,144,OV27,am,o
63,11,5,7.5,1,1.523672437,9.504067,5.36,82.46680716,81,OV27,am,o
63,12,30,200,0,2.717477645,8.712096,4.757,0,15,W10,em,t
63,13,10,24,1,1.94582395,6.589737,5.761,125.6637061,2,OV27,am,o
63,15,8,79,0,2.953097094,11.01809,5.435,78.53981634,6,W10,em,t
63,16,26,102.5,3,2.894192232,12.3481,6.065,102.1017612,13,W21,am,o
64,1,7,107,,,18.68396,4.916,,,MG7,am,o
64,2,16,79,1,0.021598449,11.89682,4.604,31.41592654,22,OV27,am,o
64,3,15,108.5,,,14.93784,4.952,,,MG7,am,o
64,4,3,50,1,0.592975613,20.31208,3.801,0,0,W10,em,t
64,5,9,9.5,1,1.670934593,15.02829,3.946,121.7367153,3,W10,em,t
64,6,8,120.5,,,11.3066,4.059,,,W10,em,t
64,7,9,86.5,1,1.221294144,45.53871,3.668,0,2,W10,em,t
64,8,2,5.5,,1.317505419,17.75273,4.033,0,,W15,em,t
64,9,5,110,3,1.152571805,16.6608,4.149,188.4955592,2,W10,em,t
64,10,7,91.5,1,0.357356164,12.69681,4.407,54.97787144,11,W21,am,o
64,11,18,81,0,,10.19327,5.397,,1,OV27,am,o
64,12,10,96.5,,1.835868207,10.54266,4.562,7.853981634,,W10,em,t
64,13,5,35.5,0,2.611448893,23.63655,3.762,0,2,W10,em,t
64,14,14,91,3,2.623229866,11.05004,5.91,302.3782929,1,W7,am,t
64,15,4,30.5,0,1.421570676,27.58651,3.995,274.8893572,2,OV27,am,o
64,16,17,70.5,0,2.1382465,19.38334,4.178,0,1,W10,em,t
65,1,4,17,5,0.924806337,14.73743,7.245,479.0928797,200,W21,am,o
65,2,16,68.5,2,2.106830573,21.96252,7.83,149.225651,143,W8,am,t
