Site,Plot,Nest,cover,Amalgams,Yr
3,3,3,50.0,920952.0,1
3,3,4,50.0,920983.0,1
3,3,1,100.0,9101619.0,1
3,3,4,50.0,9201188.0,1
3,3,3,50.0,9201207.0,1
3,3,1,100.0,9201728.0,1
3,3,4,50.0,9202046.0,1
3,3,4,50.0,9202136.0,1
3,3,4,50.0,9202560.0,1
3,3,1,100.0,200001583.0,1
3,4,4,50.0,9205.0,1
3,4,2,50.0,92035.0,1
3,4,5,50.0,910211.0,1
3,4,5,50.0,910665.0,1
3,4,5,50.0,920309.0,1
3,4,1,100.0,920477.0,1
3,4,1,100.0,920628.0,1
3,4,5,50.0,920726.0,1
3,4,4,50.0,920878.0,1
3,4,5,50.0,920983.0,1
3,4,5,50.0,9101544.0,1
3,4,1,95.0,9101619.0,1
3,4,4,50.0,9201015.0,1
3,4,2,50.0,9201637.0,1
3,4,1,50.0,9201687.0,1
3,4,1,100.0,9201728.0,1
3,4,2,100.0,9202136.0,1
3,4,2,50.0,9204445.0,1
3,4,1,5.0,200001583.0,1
3,4,4,50.0,200001670.0,1
3,5,3,50.0,9205.0,1
3,5,1,100.0,92040.0,1
3,5,1,50.0,910665.0,1
3,5,2,50.0,920150.0,1
3,5,2,50.0,920169.0,1
3,5,3,50.0,920513.0,1
3,5,4,50.0,920515.0,1
3,5,3,50.0,920520.0,1
3,5,5,50.0,920522.0,1
3,5,1,50.0,920607.0,1
3,5,1,50.0,920640.0,1
3,5,1,100.0,920695.0,1
3,5,3,50.0,920763.0,1
3,5,1,100.0,920873.0,1
3,5,1,100.0,920924.0,1
3,5,2,5.0,920952.0,1
3,5,1,50.0,920968.0,1
3,5,1,50.0,920983.0,1
3,5,1,100.0,920984.0,1
3,5,1,50.0,9101619.0,1
3,5,1,50.0,9201504.0,1
3,5,1,50.0,9201507.0,1
3,5,1,50.0,9201728.0,1
3,5,1,50.0,9201735.0,1
3,5,2,50.0,9201741.0,1
3,5,1,50.0,9201748.0,1
3,5,5,50.0,9201815.0,1
3,5,4,50.0,9201867.0,1
3,5,2,50.0,9201899.0,1
3,5,2,50.0,9201954.0,1
3,5,4,50.0,9202005.0,1
3,5,3,50.0,9202010.0,1
3,5,1,100.0,9202046.0,1
3,5,2,100.0,9202126.0,1
3,5,2,50.0,200001583.0,1
3,5,3,50.0,200001595.0,1
3,6,3,50.0,910211.0,1
3,6,4,50.0,920477.0,1
3,6,2,100.0,920628.0,1
3,6,3,50.0,920983.0,1
3,6,1,60.0,9101619.0,1
3,6,4,50.0,9201637.0,1
3,6,1,100.0,9201687.0,1
3,6,1,100.0,9201728.0,1
3,6,5,50.0,9202136.0,1
3,6,4,50.0,9204445.0,1
3,6,1,100.0,200001583.0,1
3,7,3,50.0,92035.0,1
3,7,1,5.0,910665.0,1
3,7,1,5.0,920477.0,1
3,7,1,100.0,920628.0,1
3,7,3,50.0,920640.0,1
3,7,1,100.0,920726.0,1
3,7,1,100.0,920952.0,1
3,7,1,100.0,920983.0,1
3,7,2,100.0,9101544.0,1
3,7,1,55.0,9101619.0,1
3,7,2,50.0,9201637.0,1
3,7,2,50.0,9201687.0,1
3,7,1,5.0,9201728.0,1
3,7,1,100.0,9202046.0,1
3,8,1,100.0,910665.0,1
3,8,4,50.0,920477.0,1
3,8,3,50.0,920513.0,1
3,8,1,50.0,920695.0,1
3,8,5,50.0,920873.0,1
3,8,5,50.0,920918.0,1
3,8,1,80.0,920952.0,1
3,8,4,50.0,920983.0,1
3,8,2,50.0,920984.0,1
3,8,5,50.0,9101619.0,1
3,8,3,50.0,9201504.0,1
3,8,3,50.0,9201507.0,1
3,8,1,50.0,9201705.0,1
3,8,1,5.0,9201728.0,1
3,8,2,50.0,9202046.0,1
3,8,1,100.0,9202126.0,1
3,8,1,10.0,200001583.0,1
3,9,2,100.0,910665.0,1
3,9,2,50.0,920169.0,1
3,9,5,50.0,920250.0,1
3,9,1,5.0,920477.0,1
3,9,5,50.0,920569.0,1
3,9,5,50.0,920607.0,1
3,9,2,100.0,920695.0,1
3,9,1,100.0,920873.0,1
3,9,1,100.0,920918.0,1
3,9,5,50.0,920925.0,1
3,9,1,100.0,920931.0,1
3,9,1,70.0,920952.0,1
3,9,1,100.0,920984.0,1
3,9,1,40.0,9101619.0,1
3,9,5,50.0,9201188.0,1
3,9,3,50.0,9201504.0,1
3,9,3,50.0,9201507.0,1
3,9,4,50.0,9201617.0,1
3,9,1,25.0,9201728.0,1
3,9,5,50.0,9201741.0,1
3,9,5,50.0,9202010.0,1
3,9,3,50.0,9202032.0,1
3,9,1,100.0,9202046.0,1
3,9,2,5.0,9202126.0,1
3,9,5,50.0,9204446.0,1
3,9,2,100.0,200001583.0,1
3,9,4,50.0,200001595.0,1
3,9,4,50.0,200001670.0,1
3,10,1,100.0,92035.0,1
3,10,5,50.0,910211.0,1
3,10,2,100.0,920477.0,1
3,10,1,100.0,920628.0,1
3,10,2,50.0,920640.0,1
3,10,2,50.0,920821.0,1
3,10,5,50.0,920878.0,1
3,10,1,100.0,920983.0,1
3,10,1,95.0,9101619.0,1
3,10,2,50.0,9201687.0,1
3,10,1,100.0,9201728.0,1
3,10,1,100.0,9202136.0,1
3,10,2,50.0,9204445.0,1
3,10,1,100.0,200001583.0,1
3,11,4,50.0,92036.0,1
3,11,1,50.0,92040.0,1
3,11,2,100.0,910665.0,1
3,11,2,50.0,920121.0,1
3,11,1,50.0,920169.0,1
3,11,1,50.0,920231.0,1
3,11,2,50.0,920520.0,1
3,11,1,50.0,920607.0,1
3,11,2,50.0,920640.0,1
3,11,2,50.0,920918.0,1
3,11,1,5.0,920983.0,1
3,11,2,40.0,9101619.0,1
3,11,4,50.0,9201057.0,1
3,11,1,50.0,9201067.0,1
3,11,2,50.0,9201413.0,1
3,11,1,50.0,9201487.0,1
3,11,1,50.0,9201488.0,1
3,11,1,50.0,9201495.0,1
3,11,1,40.0,9201728.0,1
3,11,2,50.0,9201734.0,1
3,11,4,50.0,9201741.0,1
3,11,3,50.0,9202046.0,1
3,11,2,50.0,9202092.0,1
3,11,2,50.0,9204445.0,1
3,11,1,50.0,9205207.0,1
3,11,1,100.0,200001583.0,1
3,11,2,50.0,200001595.0,1
3,12,2,50.0,910665.0,1
3,12,1,5.0,920477.0,1
3,12,1,50.0,920695.0,1
3,12,2,50.0,920873.0,1
3,12,1,25.0,920952.0,1
3,12,1,100.0,920983.0,1
3,12,1,60.0,9101619.0,1
3,12,3,50.0,9201188.0,1
3,12,3,50.0,9201705.0,1
3,12,3,50.0,9201725.0,1
3,12,1,5.0,9201728.0,1
3,12,1,50.0,9201960.0,1
3,12,2,50.0,9202126.0,1
3,12,5,50.0,200001583.0,1
3,13,1,100.0,920477.0,1
3,13,5,50.0,920628.0,1
