BRC names,BRC number,Woody
Cerastium semidecandrum,920469,
Cerastium sp.,9204524,
Cerastium tomentosum,920470,
Ceratocapnos claviculata,920555,
Ceratochloa carinata,920260,
Ceratodon purpureus,820151,
Ceratodon sp,200001046,
Ceratophyllum demersum,920471,
Ceratophyllum submersum,920472,
Ceterach officinarum,910473,
Cetraria chlorophylla,5502842,
Cetraria commixta,5502843,
Cetraria cucullata,5502844,
Cetraria glauca,5505299,
Cetraria hepatizon,5502847,
Cetraria hiascens/delisei,5505350,
Cetraria islandica,5502848,
Cetraria nivalis,5502851,
Cetraria norvegica/platysma lacunosum,5505251,
Cetraria pinastri,5502852,
Cetraria sepincola,5502853,
Cetraria sp.,5505959,
Chaenorhinum minus,920474,
Chaerophyllum aureum,920475,
Chaerophyllum temulum,920476,
Chamaecyparis lawsoniana,9202398,
Chamaecyparis sp.,200001612,
Chamaemelum nobile,920119,
Chamerion angustifolium,920477,
Chara fragilis,720107,
Chara hispidus,720108,
Chara sp.,720113,
Chara vulgaris,720112,
Cheilothela chloropus,820150,
Chelidonium majus,920480,
Chenopodium album agg.,920481,
Chenopodium album/polyspermum,200001582,
Chenopodium bonus-henricus,920484,
Chenopodium capitatum,920486,
Chenopodium chenopodioides,920485,
Chenopodium ficifolium,920487,
Chenopodium glaucum,920488,
Chenopodium hybridum,920490,
Chenopodium murale,920491,
Chenopodium opulifolium,920492,
Chenopodium polyspermum,920493,
Chenopodium rubrum,920496,
Chenopodium sp.,9204525,
Chenopodium suecicum,920497,
Chenopodium urbicum,920498,
Chenopodium vulvaria,920500,
Chiloscyphus polyanthos,810986,
Chiloscyphus polyanthos var.pallescens,810737,
Chiloscyphus sp.,8101278,
Chrysanthemum segetum,920504,
Chrysanthemum sp.,9204800,
Chrysosplenium alternifolium,920505,
Chrysosplenium oppositifolium,920506,
Cicendia filiformis,920507,
Cicerbita alpina,920508,
Cicerbita macrophylla,9202381,
Cicerbita plumieri,9204519,
Cichorium intybus,920509,
Cicuta virosa,920510,
Cinclidium stygium,820152,
Cinclidotus fontinaloides,820153,
Cinclidotus mucronatus,820154,
Circaea alpina,920511,
Circaea alpina x lutetiana (C. x intermedia),920512,
Circaea lutetiana,920513,
Circaea sp.,200001613,
Cirriphyllum cirrosum,820155,
Cirriphyllum crassinervium,820156,
