,BRC,species,preneation,life form,woodiness,Tjan,Tjul,Prec,Br Habitats,L,F,R,N,S,ms,flag
432,910713,Equisetum fluviatile,p,Gn,h,3.5,14.4,1116,11,8,10,6,4,0,,0
647,910717,Equisetum palustre,p,Gn,h,3.4,14.5,1091,11,7,8,6,3,0,,0
642,9104635,Equisetum sp.,p,Gn,h,,,,,,,,,,,0
375,910720,Equisetum sylvaticum,p,Gn,h,2.9,13.7,1269,"1, 16",5,8,5,5,0,,0
292,910721,Equisetum telmateia,p,Gn,h,3.8,15.2,950,11,6,8,7,6,0,,0
737,920839,Frangula alnus,p,Ph,ws,3.8,15.8,881,1,6,8,5,5,0,am,0
417,920893,Genista tinctoria,p,Ch,ws,3.6,15.6,880,6,8,6,7,2,0,am,0
369,920740,Eriophorum angustifolium,p,hc,h,3.4,14.1,1194,12,8,9,4,1,0,,0
395,920744,Eriophorum vaginatum,p,hc,h,3.1,13.6,1307,12,8,8,2,1,0,,0
52,920952,Hedera helix,p,Ph,ws,3.6,14.6,1086,"1, 3",4,5,7,6,0,am,2
128,920763,Eupatorium cannabinum,p,hc,h,3.9,15.2,974,11,7,8,6,7,0,,0
348,20000158,Euphorbia agg.,,,h,,,,,,,,,,,0
176,920764,Euphorbia amygdaloides,p,Ch,h,4.1,16.1,827,1,4,5,6,6,0,,0
162,920777,Euphorbia peplus,a,Th,h,3.8,15.1,950,"4, 17",7,4,7,6,0,,0
548,9202243,Euphrasia officinalis agg.,a,Th,h,3.5,14.4,1131,"6, 7, 8, 10",8,5,5,3,0,,0
481,8201146,Eurhynchium sp.,p,moss,moss,,,,,,,,,,,0
61,920810,Fagus sylvatica,p,Ph,wt,3.5,14.7,1061,1,3,5,5,5,0,em,2
774,9201528,Fallopia japonica,p,Gn,h,3.7,14.8,1043,"3, 14, 17",6,7,6,6,0,,0
384,920812,Festuca altissima,p,hc,h,2.6,13.6,1410,"1, 16",3,5,4,5,0,,0
351,920813,Festuca arundinacea,p,hc,h,3.6,14.9,980,"6, 7",8,6,7,6,1,,0
0,920816,Festuca gigantea,p,hc,h,3.6,15.1,981,1,5,6,7,7,0,,0
