SITE,PLOT,y71,y03,diff
24,13,0.581194641,1.356775327,0.775580686
24,14,0.426078504,0.79521564,0.369137137
24,15,0.378954614,0.860010989,0.481056375
24,16,0.215984495,0.726493301,0.510508806
25,1,0.907134879,1.720021978,0.812887099
25,2,0.861974484,2.01847328,1.156498796
25,3,0.353429174,1.937969968,1.584540795
25,4,0.003926991,3.004147975,3.000220984
25,5,,1.602212253,
25,6,0.838412539,0.594939109,-0.243473431
25,7,0.058904862,2.57021549,2.511310627
25,8,0.592975613,2.175552913,1.582577299
25,9,0.567450173,0.748091751,0.180641578
25,10,0.730420292,0.663661448,-0.066758844
25,11,0.901244392,1.564905841,0.663661448
25,12,1.73180295,1.747510914,0.015707963
25,13,1.327322896,2.159844949,0.832522053
25,14,1.040652567,0.251327412,-0.789325154
25,15,0.347538687,0.630282026,0.282743339
25,16,0.610647072,1.077958979,0.467311907
26,1,1.519745446,1.70627751,0.186532064
26,2,5.110978548,5.484042676,0.373064128
26,3,0.186532064,,
26,4,3.522510763,6.230170931,2.707660168
26,5,0.561559687,4.549418861,3.987859175
26,6,3.866122459,0.954258769,-2.911863691
26,7,3.02770992,3.980005193,0.952295273
26,8,1.433351648,1.525635932,0.092284284
26,9,2.21089583,,
26,10,1.028871594,3.277073837,2.248202243
26,11,1.761255381,0.981747704,-0.779507677
26,12,3.000220984,3.976078202,0.975857218
26,13,3.135702167,2.415099352,-0.720602815
26,14,0.814850595,2.552544031,1.737693437
26,15,1.604175749,2.047925711,0.443749962
26,16,3.84452401,1.136863842,-2.707660168
27,1,0.771653696,2.864739801,2.093086105
27,2,0.79521564,1.639518666,0.844303026
27,3,,0.502654825,
27,4,0.591012118,2.146100481,1.555088364
27,5,1.344994355,0.913025365,-0.43196899
27,7,1.462804079,2.169662426,0.706858347
27,8,1.80052529,1.604175749,-0.196349541
27,9,,3.976078202,
27,10,0.893390411,1.288052988,0.394662577
27,11,0.469275403,0.630282026,0.161006623
27,12,,2.411172362,
27,13,0.895353906,0.561559687,-0.333794219
27,14,1.963495408,2.764601535,0.801106127
27,15,,2.474004215,
27,16,1.083849465,1.517781951,0.433932485
28,1,0.475165889,0.569413668,0.09424778
28,2,1.92029851,3.229949947,1.309651437
28,3,1.386227758,0.090320789,-1.29590697
28,4,1.398008731,1.73180295,0.333794219
28,5,1.396045235,0.473202393,-0.922842842
28,6,2.026327262,0.066758844,-1.959568418
28,7,2.670353756,0.620464549,-2.049889206
28,8,0.736310778,1.712167996,0.975857218
28,9,1.720021978,2.442588288,0.72256631
28,10,1.284125997,1.044579557,-0.23954644
28,11,0.467311907,1.627737694,1.160425786
28,12,0.070685835,1.619883712,1.549197877
28,13,0.084430303,0.375027623,0.29059732
28,14,0.137444679,1.325359401,1.187914722
28,15,0.115846229,0.779507677,0.663661448
28,16,0.09424778,1.127046364,1.032798585
29,2,0.814850595,0.227765467,-0.587085127
29,3,0.184568568,2.199114858,2.014546289
29,4,0.895353906,1.786780822,0.891426915
29,5,4.787001806,1.482439033,-3.304562772
29,6,1.979203372,3.322234231,1.343030859
29,7,0.799142631,1.865320638,1.066178007
