,species,mycorrhiza
723,Achyranthes bidentata,nm
724,Achyranthes splendens,nm
725,Achyrocline satureioides,AM
726,Achyrocline satureioides,AM
727,Achyrocline satureioides,AM
728,Achyrocline tomentosa,AM
729,Achyrocline tomentosa,AM
730,Acianthera pantasmi,AM
731,Acianthus caudatus,OM
732,Acinodendron hispidum,AM
733,Acmella calva,non-AM
734,Acmella calva,nm
735,Acmella calva,AM
736,Acmella paniculata,AM
737,Acmella uliginosa,AM
738,Acmena,AM
739,Acmena hemilampra,AM
740,Acmispon brachycarpus,AM
741,Acmispon subpinnatus,AM
742,Acoelorrhaphe wrightii,AM
743,Acomastylis elata var. elata,AM
744,Aconitum anthora,AM
745,Aconitum chasmanthum,AM
746,Aconitum columbianum,AM
747,Aconitum delphinifolium,AM
748,Aconitum delphinifolium,AM
749,Aconitum firmum,AM
750,Aconitum japonicum,AM
751,Aconitum loczyanum,AM
752,Aconitum napellus,AM
753,Aconitum napellus,nm
754,Aconitum nasutum,AM
755,Aconitum nasutum,AM
756,Aconitum nasutum,AM
757,Aconitum nasutum,nm
758,Aconitum nasutum,AM
759,Aconitum pascoi,AM
760,Aconitum rotundifolium,AM
761,Aconitum rotundifolium,AM
762,Aconitum septentrionale,AM
763,Aconitum septentrionale,AM
764,Aconitum septentrionale,AM
765,Aconitum septentrionale,AM
766,Aconitum septentrionale,AM
767,Aconitum septentrionale,AM
768,Aconitum septentrionale,AM
769,Aconitum septentrionale,AM
770,Aconitum septentrionale,AM
771,Aconitum septentrionale,AM
772,Aconitum septentrionale,AM
773,Aconitum septentrionale,AM
774,Aconitum septentrionale,AM
775,Aconitum soongaricum,non-AM
776,Acorus calamus,AM
777,Acorus calamus,AM
778,Acorus calamus,nm
779,Acorus calamus,nm
780,Acorus calamus,AM
781,Acorus calamus,AM
782,Acorus calamus var. angustatus,nm
783,Acorus gramineus,nm
784,Acosmium dasycarpum,AM
785,Acrocarpus fraxinifolius,AM
786,Acronychia acronychioides,AM
787,Acronychia pedunculata,AM
788,Acronychia pedunculata,AM
789,Acronychia pedunculata,AM
790,Acronychia pedunculata,AM
791,Acrophorus stipellatus,AM
792,Acrorumohra diffracta,AM
793,Acrostichum aureum,AM
794,Acrostichum aureum,AM
795,Acrostichum aureum,AM
796,Acrostichum aureum,AM
797,Acrostichum sinense,AM
798,Acrosticum aureum,nm
799,Acrotriche serrulata,ErM
800,Actaea japonica,AM
801,Actaea pachypoda,AM
802,Actaea rubra,AM
803,Actaea rubra,AM
804,Actaea spicata,AM
805,Actaea spicata,AM
806,Actaea spicata,AM
807,Actaea spicata,AM
808,Actaea spicata,AM
809,Actaea spicata,AM
810,Actaea spicata,nm
811,Actaea spicata,AM
812,Actaea spicata,nm
813,Actaea spicata,AM
814,Actaea spicata,AM
815,Actephila lindleyi,nm
816,Actinidia arguta,AM
817,Actinidia arguta,AM
818,Actinidia chinensis,AM
819,Actinidia deliciosa,AM
820,Actinidia kolomikta,nm
821,Actinidia polygama,nm
822,Actinidia polygama,AM
823,Actiniopteris radiata,AM
824,Actiniopteris radiata,AM
825,Actiniopteris radiata,AM
826,Actiniopteris radiata,AM
827,Actinobole condensatum,AM
828,Actinobole uliginosum,AM
829,Actinobole uliginosum,AM
830,Actinocephalus pachyphyllus,AM
831,Actinodaphne henryi,AM
832,Actinodaphne lancifolia,AM
833,Actinoscirpus grossus,non-AM
834,Actinoscirpus grossus,nm
835,Actinostachys pennula,AM
836,Actinostemon  concolor ,AM
837,Actinostemon  concolor ,AM
838,Actinostemon  concolor ,AM
839,Actinostemon concolor,AM
840,Actinostemon concolor,AM
841,Actinostrobus acuminatus,non-EcM
842,Actinostrobus pyramidalis,AM
843,Actinostrobus pyramidalis,non-EcM
844,Actinotus helianthi,AM
845,Actinotus minor,AM
846,Actinotus minor,AM
847,Acystopteris tenuisecta,AM
848,Adansonia digitata,AM
849,Adelia brandegeei,AM
850,Adelia brandegeei,AM
851,Adenanthera pavonina,AM
852,Adenanthera pavonina,AM
853,Adenanthera pavonina,AM
854,Adenanthera pavonina,AM
855,Adenanthera pavonina,AM
856,Adenanthera pavonina,AM
857,Adenanthera pavonina,AM
858,Adenanthos barbigerus,nm
859,Adenanthos barbigerus,nm
860,Adenium obesum,AM
861,Adenium obesum,AM
862,Adenocaulon bicolor,AM
863,Adenocaulon chilense,AM
864,Adenocaulon himalaicum,AM
865,Adenophora liliifolia,AM
866,Adenophora liliifolia,AM
867,Adenophora liliifolia,AM
868,Adenophora liliifolia,AM
869,Adenophora liliifolia,AM
870,Adenophora remotiflora,AM
871,Adenophora triphylla,non-AM
872,Adenophora triphylla,AM
873,Adenostoma fasciculatum,dual
874,Adenostoma fasciculatum,dual
875,Adenostyles alliariae,nm
876,Adesmia,nm
877,Adesmia filifolia,AM
878,Adesmia longipes,AM
879,Adesmia retusa,AM
880,Adesmia tenella,AM
881,Adiantum,AM
882,Adiantum,AM
883,Adiantum andicola,AM
884,Adiantum andicola,nm
885,Adiantum andicola,AM
886,Adiantum andicola,AM
887,Adiantum bonatianum,AM
888,Adiantum capillus-veneris,nm
889,Adiantum capillus-veneris,AM
890,Adiantum capillus-veneris,AM
891,Adiantum capillus-veneris,nm
892,Adiantum capillus-veneris,AM
893,Adiantum capillus-veneris,nm
894,Adiantum capillus-veneris,AM
895,Adiantum capillus-veneris,AM
896,Adiantum capillus-veneris,nm
897,Adiantum caudatum,AM
898,Adiantum caudatum,AM
899,Adiantum chilense var. sulphureum,AM
900,Adiantum chilense var. sulphureum,AM
901,Adiantum concinnum,nm
902,Adiantum cunninghamii,AM
903,Adiantum diaphanum,AM
904,Adiantum edgeworthii,AM
905,Adiantum edgeworthii,AM
906,Adiantum flabellulatum,AM
907,Adiantum flabellulatum,AM
908,Adiantum flabellulatum,nm
909,Adiantum fulvum,AM
910,Adiantum hispidulum,AM
911,Adiantum hispidulum,AM
912,Adiantum hispidulum,AM
913,Adiantum hispidulum,AM
914,Adiantum hispidulum,AM
915,Adiantum humile,AM
916,Adiantum humile,AM
917,Adiantum humile,AM
918,Adiantum incisum,AM
919,Adiantum incisum,AM
920,Adiantum incisum,AM
921,Adiantum incisum,AM
922,Adiantum lunulatum,AM
923,Adiantum lunulatum,AM
924,Adiantum lunulatum,AM
925,Adiantum malesianum,AM
926,Adiantum monochlamys,AM
927,Adiantum pedatum,AM
928,Adiantum pedatum,nm
929,Adiantum pedatum,nm
930,Adiantum pedatum,AM
931,Adiantum pedatum,AM
932,Adiantum poiretii,nm
933,Adiantum raddianum,AM
934,Adiantum raddianum,AM
