Site,Plot,Yr,Amalgams,cover
24,6,2,9201728.0,1.0
24,7,1,9201728.0,15.0
24,8,1,9201687.0,0.5
24,8,1,9201728.0,5.0
24,8,2,9201728.0,0.5
24,8,2,9201815.0,0.5
24,9,1,9201728.0,5.0
24,9,2,9201728.0,5.0
24,10,1,9201728.0,65.0
24,10,2,9201728.0,100.0
24,12,1,9201728.0,15.0
24,13,1,9201728.0,20.0
24,13,2,9201728.0,1.0
24,14,1,9201728.0,10.0
24,14,2,9201728.0,1.0
24,15,1,9201728.0,10.0
24,15,2,9201728.0,0.5
24,16,1,9201728.0,35.0
24,16,2,9201728.0,5.0
25,1,1,9201728.0,15.0
25,1,2,9201728.0,1.0
25,2,1,9201728.0,0.5
25,3,1,9201728.0,1.0
25,4,1,9201728.0,5.0
25,4,2,9201728.0,15.0
25,5,1,9201728.0,1.0
25,5,2,9201728.0,0.5
25,6,1,9201728.0,1.0
25,6,2,9201728.0,0.5
25,7,1,9201728.0,5.0
25,7,2,9201728.0,5.0
25,8,1,9201728.0,25.0
25,8,2,9201728.0,10.0
25,9,1,9201728.0,65.0
25,9,2,9201728.0,5.0
25,10,1,9201728.0,5.0
25,10,2,9201728.0,5.0
25,11,1,9201728.0,60.0
25,12,1,9201815.0,0.5
25,12,2,9201728.0,0.5
25,13,1,9201728.0,1.0
25,13,2,9201728.0,0.5
25,14,1,9201728.0,25.0
25,14,2,9201728.0,20.0
25,15,1,9201728.0,20.0
