SITE,PLOT,NVC,Yr
45,7,MG10a,1
45,8,W10d,1
45,9,W10c,1
45,10,W10a,1
45,11,W10d,1
45,12,W10c,1
45,13,W10d,1
45,14,W10d,1
45,15,W10c,1
45,16,W10d,1
46,1,OV27d,1
46,2,W8d,1
46,3,W8e,1
46,4,W21,1
46,5,W21,1
46,6,W10c,1
46,7,OV27,1
46,8,W10d,1
46,9,W8e,1
46,10,OV27,1
46,11,W21,1
46,12,W21,1
46,13,W10c,1
46,14,W10c,1
46,15,W8d,1
46,16,W8d,1
47,1,W10d,1
47,2,W10d,1
47,3,W10c,1
47,4,M25,1
47,5,M15,1
47,6,OV27,1
47,7,W10d,1
47,8,W10d,1
47,9,W16,1
47,10,W10,1
47,11,W4,1
47,12,M15,1
47,13,OV27,1
47,14,OV27,1
47,15,OV27,1
47,16,OV27,1
48,1,W10c,1
48,2,W10a,1
48,3,W10a,1
48,4,W10c,1
48,5,W4,1
48,6,W10,1
48,7,W10a,1
48,8,W6,1
48,9,W6,1
48,10,W7,1
48,11,W10a,1
48,12,W10,1
48,13,W10,1
48,14,W10,1
48,15,W10d,1
48,16,W10a,1
49,1,OV27,1
49,2,W10c,1
49,3,OV27d,1
49,4,W10d,1
49,5,W10a,1
49,6,W16b,1
49,7,W16b,1
49,8,W10d,1
49,9,W10a,1
49,10,W10c,1
49,11,W21,1
49,12,W6,1
49,13,W6,1
49,14,W6,1
49,15,W6,1
49,16,W6,1
50,1,W10a,1
50,2,W10,1
50,3,W8d,1
50,4,W10,1
50,5,W16,1
50,6,W10,1
50,7,W10,1
50,8,W10,1
50,9,W10,1
50,10,W10,1
50,11,W10d,1
50,12,W10c,1
50,13,W10,1
50,14,W10,1
50,15,W7,1
50,16,W10d,1
51,1,W10d,1
51,2,OV27d,1
51,3,OV27d,1
51,4,OV27d,1
51,5,OV27d,1
51,6,OV27d,1
51,7,OV27d,1
51,8,W21,1
51,9,OV27d,1
51,10,W10a,1
51,11,OV27d,1
51,12,W10a,1
51,13,OV27d,1
51,14,OV27d,1
51,15,OV27,1
51,16,W21,1
52,1,W4,1
52,2,W4,1
52,3,W16b,1
52,4,W10a,1
52,5,W16,1
52,6,W10c,1
52,7,W10c,1
52,8,W10,1
52,9,W16b,1
52,10,W16,1
52,11,W10a,1
52,12,W10,1
52,13,W10a,1
52,14,W16b,1
52,15,W10a,1
52,16,W10c,1
53,1,W21a,1
53,2,MG10a,1
53,3,W6,1
53,4,W6,1
53,5,OV27d,1
53,6,OV27d,1
53,7,OV27,1
53,8,W21,1
53,9,S28b,1
53,10,W21,1
53,11,W6,1
53,12,W6,1
53,13,W6,1
53,14,W6,1
53,15,W6,1
53,16,W6,1
54,1,W10c,1
54,2,W10d,1
54,3,W10d,1
54,4,W10c,1
54,5,W10d,1
54,6,W10d,1
54,7,W10d,1
54,8,W10d,1
54,9,W10d,1
54,10,W10d,1
54,11,W10d,1
54,12,W10d,1
54,13,W10d,1
54,14,W10,1
54,15,W10c,1
54,16,W10d,1
55,1,MG1b,1
55,2,W24,1
55,3,W21,1
55,4,W10,1
55,5,W24,1
55,6,OV21,1
55,7,CG4,1
55,8,W21,1
55,9,CG4,1
55,10,MG10a,1
55,11,W8d,1
55,12,CG4,1
55,13,W8d,1
55,14,W21,1
55,15,W8d,1
55,16,OV27,1
56,1,W16b,1
56,2,W10d,1
56,3,W14,1
56,4,W10,1
56,5,W15a,1
56,6,W16b,1
