year,Plot,Nest,Site,Cove,BRC,BRC names,Woody
1,4,2,2,1.0,92046.0,Ajuga reptans,
1,4,2,2,0.5,910665.0,Dryopteris filix-mas,
1,4,2,2,1.0,920183.0,Galium odoratum,
1,4,2,2,1.0,920477.0,Chamerion angustifolium,
1,4,2,2,0.5,9201607.0,Primula vulgaris,
1,4,3,2,0.5,92039.0,Agrostis stolonifera,
1,4,3,2,0.5,920421.0,Carex sylvatica,
1,4,5,2,1.0,92040.0,Agrostis capillaris,
1,4,5,2,0.5,920515.0,Cirsium arvense,
1,4,5,2,0.5,920569.0,Crataegus monogyna,w
1,4,5,2,1.0,920627.0,Deschampsia cespitosa,
1,4,5,2,0.5,920687.0,Hyacinthoides non-scripta,
1,4,5,2,1.0,920882.0,Galium palustre,
1,4,5,2,0.5,920983.0,Holcus lanatus,
1,4,5,2,1.0,9201067.0,Juncus effusus,
1,4,5,2,0.5,9201210.0,Lychnis flos-cuculi,
1,4,5,2,0.5,9201225.0,Lysimachia vulgaris,
1,4,5,2,0.5,9201495.0,Poa annua,
1,4,5,2,0.5,9201610.0,Prunella vulgaris,
1,4,5,2,0.5,9201642.0,Ranunculus acris,
1,4,5,2,0.5,9201748.0,Rumex obtusifolius,
1,4,5,2,0.5,9201819.0,Sanicula europaea,
1,4,5,2,0.5,9201865.0,Scrophularia auriculata,
1,4,5,2,0.5,9202005.0,Stachys sylvatica,
1,4,5,2,0.5,9202126.0,Urtica dioica,
1,4,5,2,1.0,9202168.0,Veronica chamaedrys,
1,4,5,2,1.0,9202172.0,Veronica montana,
1,4,5,2,0.5,9204446.0,Quercus seedling/sp,w
1,4,5,2,0.5,9204539.0,Leontodon sp.,
1,4,5,2,0.5,200001584.0,Hypochoeris spp.,
1,5,1,2,25.0,9101619.0,Pteridium aquilinum,
1,5,1,2,1.0,9201023.0,Ilex aquifolium,w
1,5,1,2,1.0,9201188.0,Lonicera periclymenum,w
1,5,1,2,20.0,9201728.0,Rubus fruticosus agg.,
1,5,1,2,0.5,9201960.0,Sorbus aucuparia,w
1,5,2,2,0.5,920432.0,Castanea sativa,w
1,5,2,2,0.5,9201951.0,Solidago virgaurea,
1,5,5,2,0.5,920628.0,Deschampsia flexuosa,
1,5,5,2,0.5,920952.0,Hedera helix,
1,6,1,2,0.5,920841.0,Fraxinus excelsior (c),w
1,6,1,2,5.0,920952.0,Hedera helix,
1,6,1,2,5.0,9201188.0,Lonicera periclymenum,w
1,6,1,2,1.0,9201413.0,Oxalis acetosella,
1,6,1,2,5.0,9201728.0,Rubus fruticosus agg.,
1,6,1,2,1.0,200001595.0,Viola riviniana/reichenbiana,
1,6,2,2,1.0,92046.0,Ajuga reptans,
1,6,2,2,1.0,920513.0,Circaea lutetiana,
1,6,2,2,1.0,9201819.0,Sanicula europaea,
1,6,3,2,1.0,910665.0,Dryopteris filix-mas,
1,6,3,2,0.5,920705.0,Epipactis helleborine,
1,6,3,2,0.5,9201694.0,Ribes nigrum,
1,6,3,2,0.5,9201696.0,Ribes rubrum,
1,6,4,2,0.5,9201951.0,Solidago virgaurea,
1,6,4,2,0.5,200001583.0,Dryopteris dilatata/carthusiana,
1,6,5,2,0.5,920183.0,Galium odoratum,
1,6,5,2,0.5,920695.0,Epilobium montanum,
1,6,5,2,0.5,9201729.0,Rubus idaeus,
1,6,5,2,1.0,9204446.0,Quercus seedling/sp,w
1,7,1,2,0.5,92046.0,Ajuga reptans,
