BRC names,BRC number,Woody
Mielichhoferia elongata,820378,
Plagiomnium affine,820379,
Pseudobryum cinclidioides,820380,
Plagiomnium cuspidatum,820381,
Mnium hornum,820382,
Plagiomnium rostratum,820383,
Mnium ambiguum,820384,
Plagiomnium medium,820386,
Mnium thomsonii,820387,
Rhizomnium pseudopunctatum,820388,
Rhizomnium punctatum,820389,
Mnium marginatum var.dioicum,820390,
Plagiomnium ellipticum,820391,
Plagiomnium elatum,820392,
Mnium spinosum,820393,
Mnium stellare,820394,
Plagiomnium undulatum,820395,
Myrinia pulvinata,820396,
Myurella julacea,820397,
Myurella tenerrima,820398,
Myurium hochstetteri,820399,
Micromitrium tenerum,820400,
Neckera complanata,820401,
Neckera crispa,820402,
Neckera pumila,820404,
Octodiceras fontanum,820405,
Oedipodium griffithianum,820406,
Oligotrichum hercynicum,820407,
Oncophorus virens,820408,
Oncophorus wahlenbergii,820409,
Orthodontium gracile,820410,
Orthodontium lineare,820411,
Orthothecium intricatum,820412,
Orthothecium rufescens,820413,
Orthotrichum affine,820414,
Orthotrichum anomalum,820415,
Orthotrichum cupulatum,820416,
Orthotrichum diaphanum,820417,
Orthotrichum lyellii,820418,
Orthotrichum obtusifolium,820419,
Orthotrichum pallens,820420,
Orthotrichum pulchellum,820421,
Orthotrichum rivulare,820422,
Orthotrichum rupestre,820423,
Orthotrichum schimperi,820424,
Orthotrichum speciosum,820426,
Orthotrichum sprucei,820427,
Orthotrichum stramineum,820428,
Orthotrichum striatum,820429,
Orthotrichum tenellum,820430,
Phascum curvicolle,820433,
Phascum cuspidatum,820434,
Phascum floerkeanum,820435,
Philonotis caespitosa,820436,
Philonotis calcarea,820437,
Philonotis arnellii,820438,
Philonotis fontana,820439,
Philonotis tomentella,820439.4,
Philonotis rigida,820440,
Philonotis seriata,820441,
Physcomitrella patens,820442,
Physcomitrium pyriforme,820443,
Physcomitrium sphaericum,820444,
Plagiobryum demissum,820445,
Plagiobryum zieri,820446,
Plagiopus oederi,820447,
Plagiothecium curvifolium,820448,
Plagiothecium denticulatum,820449,
Plagiothecium laetum,820450,
Plagiothecium latebricola,820451,
Plagiothecium piliferum,820452,
Plagiothecium platyphyllum,820453,
Plagiothecium cavifolium,820454,
Plagiothecium ruthei,820455,
Plagiothecium nemorale,820456,
Herzogiella striatella,820457,
Plagiothecium succulentum,820458,
Plagiothecium undulatum,820459,
Pleuridium acuminatum,820460,
Pleuridium subulatum,820461,
Pleurochaete squarrosa,820462,
Pleurozium schreberi,820463,
Pohlia elongata subsp.elongata var.acuminata,820464,
Pohlia wahlenbergii,820465,
Pohlia wahlenbergii var.glacialis,820465.3,
Pohlia bulbifera,820467,
Pohlia cruda,820468,
Pohlia obtusifolia,820469,
Pohlia carnea,820470,
Pohlia drummondii,820471,
Pohlia filum,820473,
Pohlia ludwigii,820474,
Pohlia nutans,820475,
Pohlia proligera sensu Smith (1978),820477,
Pohlia rothii,820478,
Pogonatum aloides,820479,
Polytrichum alpestre,820480,
Polytrichum alpinum,820481,
Polytrichum commune,820482,
Polytrichum formosum,820483,
Polytrichum longisetum,820484,
Polytrichum juniperinum,820485,
Pogonatum nanum,820486,
Polytrichum sexangulare,820487,
Polytrichum piliferum,820488,
Pogonatum urnigerum,820489,
Pottia bryoides,820491,
Pottia caespitosa,820492,
Pottia commutata,820493,
