,SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names,Woody
429,95,9,9204445,1,2,2,Betula seedling/sp,w
430,95,9,920810,1,4,2,Fagus sylvatica,w
431,95,9,9201960,1,12,2,Sorbus aucuparia,w
432,95,9,920557,1,50,2,Corylus avellana,w
433,95,9,9201788,2,1,2,Salix caprea,w
434,95,9,920557,2,2,2,Corylus avellana,w
435,95,9,9201960,2,2,2,Sorbus aucuparia,w
436,95,9,9205,2,3,2,Acer pseudoplatanus,w
437,95,9,920810,2,3,2,Fagus sylvatica,w
438,95,9,9204445,2,19,2,Betula seedling/sp,w
439,95,9,9204445,3,2,2,Betula seedling/sp,w
440,95,9,920810,4,1,2,Fagus sylvatica,w
441,95,9,9204445,4,1,2,Betula seedling/sp,w
442,95,9,9204442,4,2,2,Larix sp.,w
443,95,9,920841,7,1,2,Fraxinus excelsior (c),w
444,95,10,9205,1,2,2,Acer pseudoplatanus,w
445,95,10,9205178,1,2,2,Pseudotsuga spp.,w
446,95,10,9204445,1,2,2,Betula seedling/sp,w
447,95,10,9204446,1,2,2,Quercus seedling/sp,w
448,95,10,9201960,1,8,2,Sorbus aucuparia,w
449,95,10,9204445,1,10,2,Betula seedling/sp,w
450,95,10,920810,1,12,2,Fagus sylvatica,w
451,95,10,9205,2,3,2,Acer pseudoplatanus,w
452,95,10,9204445,2,4,2,Betula seedling/sp,w
453,95,10,9204446,2,5,2,Quercus seedling/sp,w
454,95,10,9204445,2,11,2,Betula seedling/sp,w
455,95,10,9205,3,1,2,Acer pseudoplatanus,w
456,95,10,9204445,3,8,2,Betula seedling/sp,w
457,95,10,9204442,4,1,2,Larix sp.,w
458,95,10,9204445,4,2,2,Betula seedling/sp,w
459,95,11,920569,1,2,2,Crataegus monogyna,w
460,95,11,9205178,1,2,2,Pseudotsuga spp.,w
461,95,11,9204445,1,2,2,Betula seedling/sp,w
462,95,11,920810,1,4,2,Fagus sylvatica,w
463,95,11,920841,1,4,2,Fraxinus excelsior (c),w
464,95,11,9204446,1,4,2,Quercus seedling/sp,w
465,95,11,9201960,1,18,2,Sorbus aucuparia,w
466,95,11,9201023,1,22,2,Ilex aquifolium,w
467,95,11,920557,1,66,2,Corylus avellana,w
468,95,11,920810,2,1,2,Fagus sylvatica,w
469,95,11,920841,2,1,2,Fraxinus excelsior (c),w
470,95,11,9204446,2,1,2,Quercus seedling/sp,w
471,95,11,9205,2,2,2,Acer pseudoplatanus,w
472,95,11,9205,3,1,2,Acer pseudoplatanus,w
473,95,11,9204442,3,1,2,Larix sp.,w
474,95,11,9205,4,1,2,Acer pseudoplatanus,w
475,95,11,9204446,5,1,2,Quercus seedling/sp,w
476,95,11,9204446,7,1,2,Quercus seedling/sp,w
477,95,11,9204446,9,1,2,Quercus seedling/sp,w
478,95,12,9201960,1,2,2,Sorbus aucuparia,w
479,95,12,9201023,1,15,2,Ilex aquifolium,w
480,95,12,9201023,1,24,2,Ilex aquifolium,w
481,95,12,9201960,2,1,2,Sorbus aucuparia,w
482,95,12,9204445,2,2,2,Betula seedling/sp,w
483,95,12,9201023,2,5,2,Ilex aquifolium,w
484,95,12,9201023,3,3,2,Ilex aquifolium,w
485,95,12,9201960,4,1,2,Sorbus aucuparia,w
486,95,12,9201023,4,3,2,Ilex aquifolium,w
487,95,12,9201960,5,1,2,Sorbus aucuparia,w
488,95,12,9201023,5,2,2,Ilex aquifolium,w
489,95,12,9201023,6,1,2,Ilex aquifolium,w
490,95,12,9201960,7,1,2,Sorbus aucuparia,w
491,95,12,9204446,10,1,2,Quercus seedling/sp,w
492,95,13,9201023,1,2,2,Ilex aquifolium,w
