species,status
Asplenium scolopendrium,AM
Asplenium scolopendrium,AM
Asplenium scolopendrium,AM
Asplenium septentrionale,AM
Asplenium trichomanes,AM
Asplenium trichomanes,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Aster alpinus,AM
Kalimeris tatarica,AM
Aster fastigiatus,AM
Galatella sedifolia,AM
Galatella sedifolia,AM
Galatella sedifolia,AM
Aster sibiricus,AM
Tripolium pannonicum subtripolium,AM
Tripolium pannonicum subtripolium,AM
Tripolium pannonicum subtripolium,AM
Astragalus alatavicus,AM
Astragalus alopecias,AM
Astragalus alpinus,AM
Astragalus alpinus,non-mycorrhizal (checked for all types)
Astragalus alpinus,non-mycorrhizal (checked for all types)
Astragalus alpinus,non-mycorrhizal (checked for all types)
Astragalus arpilobus,AM
Astracantha aurea,AM
Astragalus bornmuellerianus,AM
Astragalus brachypus,AM
Astragalus captiosus,AM
Astragalus captiosus,AM
Astragalus contortuplicatus,AM
Astragalus danicus,AM
Astragalus danicus,AM
Astragalus danicus,non-mycorrhizal (checked for all types)
Astragalus turcomanicus,non-mycorrhizal (checked for all types)
Astragalus arpilobus subdrobovii,AM
Astragalus arpilobus subdrobovii,AM
Astragalus filicaulis,AM
Astragalus flexus,AM
Astragalus flexus,AM
Astragalus flexus,AM
Astragalus flexus,AM
Astragalus jagnobicus,AM
Astragalus lasioglottis,AM
Astragalus lasiosemius,AM
Astragalus lehmannianus,non-mycorrhizal (checked for all types)
Astragalus macrostachys,AM
Astragalus monspessulanus,AM
Astragalus monspessulanus,AM
Astragalus monspessulanus,non-mycorrhizal (checked for all types)
Astragalus onobrychis,AM
Astragalus paucijugus,AM
Astragalus paucijugus,AM
Astragalus paucijugus,AM
Astragalus peduncularis,AM
Astragalus supinus,non-mycorrhizal (checked for all types)
Astragalus testiculatus,AM
Astragalus testiculatus,AM
Astragalus turczaninowii,AM
Astragalus turczaninowii,AM
Astragalus turczaninowii,AM
Astragalus umbellatus,AM
Astragalus villosissimus,AM
Astragalus vulpinus,AM
Astrantia maxima,AM
Astrantia maxima,AM
Astrantia ossica,AM
Astrantia ossica,AM
Astrantia ossica,AM
Astrantia ossica,AM
Astrebla lappacea,AM
Astrodaucus orientalis,non-mycorrhizal (checked for all types)
Asyneuma campanuloides,AM
Asyneuma canescens,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,AM
Athyrium filix-femina,non-mycorrhizal (checked for all types)
Athyrium filix-femina,non-mycorrhizal (checked for all types)
Atraphaxis pyrifolia,non-mycorrhizal (checked for all types)
Atraphaxis spinosa,non-mycorrhizal (checked for all types)
Atraphaxis spinosa,non-mycorrhizal (checked for all types)
Atraphaxis spinosa,non-mycorrhizal (checked for all types)
Atraphaxis spinosa,non-mycorrhizal (checked for all types)
Atraphaxis spinosa,non-mycorrhizal (checked for all types)
Atriplex cana,non-mycorrhizal (checked for all types)
Atriplex dimorphostegia,non-mycorrhizal (checked for all types)
Atriplex prostrata subcalotheca,AM
Atriplex littoralis,non-mycorrhizal (checked for all types)
Atriplex vesicaria,AM
Atropa bella-donna,AM
Aubrieta deltoidea,AM
Aucuba japonica,AM
Pleurospermum simplex,AM
Avena sativa,AM
Avena nuda,AM
