site,plot,BRC,DBH_class,Count,Yr,species,ms,flag,dbhcounts
95,6,9204442.0,5,1,2,Larix sp.,em,0,5
95,7,9201960.0,1,1,2,Sorbus aucuparia,am,0,1
95,7,920810.0,1,2,2,Fagus sylvatica,em,0,2
95,7,9201960.0,1,2,2,Sorbus aucuparia,am,0,2
95,7,9204446.0,1,10,2,Quercus seedling/sp,em,0,10
95,7,9205.0,1,17,2,Acer pseudoplatanus,am,0,17
95,7,920557.0,1,30,2,Corylus avellana,em,0,30
95,7,9201023.0,1,84,2,Ilex aquifolium,am,1,84
95,7,9201023.0,2,1,2,Ilex aquifolium,am,1,2
95,7,9204445.0,2,1,2,Betula seedling/sp,em,0,2
95,7,920557.0,2,2,2,Corylus avellana,em,0,4
95,7,920810.0,2,2,2,Fagus sylvatica,em,0,4
95,7,9201960.0,2,2,2,Sorbus aucuparia,am,0,4
95,7,9201023.0,2,4,2,Ilex aquifolium,am,1,8
95,7,9204446.0,2,6,2,Quercus seedling/sp,em,0,12
95,7,9205.0,2,10,2,Acer pseudoplatanus,am,0,20
95,7,9205.0,3,1,2,Acer pseudoplatanus,am,0,3
95,7,9201960.0,3,1,2,Sorbus aucuparia,am,0,3
95,7,9204445.0,3,1,2,Betula seedling/sp,em,0,3
95,7,9201960.0,4,1,2,Sorbus aucuparia,am,0,4
95,7,9205.0,9,1,2,Acer pseudoplatanus,am,0,9
95,7,9204446.0,9,1,2,Quercus seedling/sp,em,0,9
95,7,9204446.0,11,1,2,Quercus seedling/sp,em,0,11
95,8,9204445.0,1,1,2,Betula seedling/sp,em,0,1
95,8,9205.0,1,2,2,Acer pseudoplatanus,am,0,2
95,8,9204445.0,1,6,2,Betula seedling/sp,em,0,6
95,8,920810.0,1,10,2,Fagus sylvatica,em,0,10
95,8,920557.0,1,118,2,Corylus avellana,em,0,118
95,8,9204442.0,2,1,2,Larix sp.,em,0,2
95,8,9205.0,2,5,2,Acer pseudoplatanus,am,0,10
95,8,9204445.0,2,9,2,Betula seedling/sp,em,0,18
95,8,9205.0,3,2,2,Acer pseudoplatanus,am,0,6
95,8,9204445.0,3,2,2,Betula seedling/sp,em,0,6
95,8,9204442.0,4,3,2,Larix sp.,em,0,12
95,8,9204442.0,5,1,2,Larix sp.,em,0,5
95,8,9204442.0,6,2,2,Larix sp.,em,0,12
95,9,9205.0,1,2,2,Acer pseudoplatanus,am,0,2
95,9,920569.0,1,2,2,Crataegus monogyna,em,0,2
95,9,9204445.0,1,2,2,Betula seedling/sp,em,0,2
95,9,920810.0,1,4,2,Fagus sylvatica,em,0,4
