SITE,PLOT,pH1971,pH resurvey
83,15,4.3,5.893
4,15,4.2,5.958
90,4,4.1,6.075
49,13,6.5,3.769
70,5,5.9,4.392
80,6,5.8,4.5
40,7,5.7,4.597
47,3,5.6,4.699
66,14,5.4,4.932
8,8,5.3,5
10,10,5.3,5
90,11,5.3,5.02
21,9,5.2,5.1
38,14,5.2,5.101
19,11,5.1,5.154
63,6,5.1,5.227
23,14,5,5.3
26,9,4.9,5.353
40,12,4.9,5.359
92,14,4.9,5.392
43,3,4.9,5.4
3,1,4.8,5.472
2,7,4.8,5.5
98,5,4.8,5.541
6,5,4.7,5.6
6,8,4.7,5.6
37,2,4.5,5.757
64,14,4.4,5.91
69,10,4.4,5.928
43,4,4.3,6.034
36,2,4,6.277
66,7,5.8,4.631
41,2,5.6,4.757
80,16,5.3,5.1
87,9,4.6,5.824
10,1,3.8,6.6
4,16,3.8,6.637
48,14,6.2,4.2
49,12,5.9,4.474
81,16,5.5,4.881
45,3,5.4,4.985
69,6,5.4,5.006
72,3,5.4,5.03
75,5,5.2,5.225
41,5,5,5.371
62,16,5,5.385
67,10,5,5.39
18,13,5,5.424
40,15,5,5.449
8,13,4.9,5.5
23,12,4.9,5.5
18,9,4.7,5.672
35,5,6.2,4.29
68,14,5.6,4.925
81,8,5.5,4.99
50,3,5.5,5.032
66,2,5.4,5.093
93,6,5.4,5.116
50,2,5.3,5.195
71,15,5.3,5.2
88,2,5.3,5.2
71,3,5.2,5.3
8,4,5.1,5.4
3,12,5.1,5.41
75,3,5.1,5.44
74,11,4.9,5.563
8,10,4.9,5.6
102,6,4.8,5.7
43,2,4.5,6.022
28,11,4.4,6.054
83,13,4.4,6.063
36,9,4,6.473
36,11,4,6.54
61,16,6,4.628
47,11,6,4.632
67,2,6,4.636
50,9,5.6,4.991
23,5,5.6,5
48,8,5.6,5
77,3,5.3,5.304
46,9,5.3,5.343
7,14,5,5.606
59,2,5,5.617
50,6,4.6,6.007
50,12,4.5,6.083
5,7,5.9,4.7
26,13,5.9,4.701
81,14,5.4,5.22
63,11,5.2,5.36
66,4,5.2,5.431
40,2,4.9,5.652
60,10,4.9,5.662
18,11,4.9,5.69
57,10,4.9,5.7
98,3,4.7,5.903
53,2,4.2,6.4
58,8,6.1,4.562
8,12,5.6,5.1
59,7,5.5,5.223
23,9,5.3,5.4
101,16,5.2,5.468
75,2,5.2,5.496
98,10,5.2,5.5
26,14,5.1,5.553
71,7,5.1,5.6
57,15,5,5.694
8,11,5,5.7
97,3,5,5.736
57,6,5,5.741
56,7,5,5.741
50,7,4.9,5.812
81,1,4.8,5.939
96,12,4.7,5.975
44,8,4.4,6.252
44,2,4.3,6.365
48,15,4.3,6.4
15,11,4.2,6.472
35,4,6.5,4.268
36,6,6.4,4.418
92,1,5.9,4.909
5,13,5.6,5.2
41,6,5.6,5.201
41,13,5.6,5.249
35,1,5.5,5.278
72,6,5.5,5.324
59,12,5.4,5.376
92,12,5.4,5.445
101,15,5.3,5.472
3,11,5.3,5.517
13,8,5.2,5.6
23,8,5.2,5.6
8,14,5.1,5.7
18,10,5.1,5.746
63,13,5,5.761
42,11,4.9,5.867
68,1,4.9,5.911
71,9,4.8,6
62,10,4.8,6.004
56,8,4.8,6.048
38,3,4.7,6.148
15,4,4.4,6.386
18,8,4.3,6.493
80,14,5.8,5.1
47,4,5.8,5.12
50,8,4.8,6.064
57,11,4.8,6.123
17,1,7.5,3.444
21,14,6,4.9
98,9,5.5,5.375
101,12,5.4,5.483
4,8,5.4,5.486
75,13,5.2,5.664
47,16,5.2,5.675
8,6,5.2,5.7
6,9,5,5.9
46,15,4.7,6.187
15,14,4.7,6.198
57,3,4.2,6.683
46,12,7,3.993
41,1,6.3,4.707
4,13,6.1,4.891
75,1,5.9,5.116
62,15,5.6,5.402
70,12,5.6,5.444
40,16,5.5,5.522
43,7,5.2,5.752
43,5,5.2,5.779
101,14,5.2,5.806
7,15,5.2,5.813
63,5,5.1,5.916
10,12,5,6
40,10,5,6.044
41,9,4.7,6.346
98,13,4.6,6.4
36,1,6.5,4.571
102,7,6,5.1
21,3,5.8,5.3
85,13,5.8,5.331
28,5,4.6,6.501
15,8,4.3,6.758
4,14,4,7.119
98,7,6.2,4.887
93,9,5.4,5.712
47,15,5.4,5.732
39,6,5.2,5.905
30,2,5.2,5.929
41,16,4.9,6.163
93,10,6.2,4.994
41,3,6.1,5.085
66,3,5.9,5.339
8,3,5.8,5.4
7,2,5.6,5.563
47,12,5.6,5.572
66,11,5.6,5.577
21,7,5.5,5.7
40,9,5.5,5.731
43,6,5.4,5.8
25,15,5.4,5.8
43,1,5.2,5.97
68,13,5.2,5.974
40,13,5.1,6.065
19,12,5.1,6.131
68,3,5,6.157
20,5,5,6.16
21,12,5,6.2
15,6,5,6.238
49,14,4.9,6.282
5,6,4.9,6.3
53,10,4.8,6.4
68,12,4.8,6.411
23,6,4.6,6.6
54,2,4.3,6.94
9,16,7.5,3.761
4,3,6.6,4.662
36,4,6.4,4.9
75,14,6,5.304
70,10,5.9,5.44
75,12,5.8,5.492
3,2,5.8,5.505
43,8,5.7,5.61
7,5,5.6,5.652
63,3,5.6,5.655
36,14,5.4,5.858
93,7,5.4,5.901
91,9,5.2,6.1
56,6,5.2,6.139
21,10,5,6.3
44,6,5,6.317
47,10,5,6.324
68,16,4.9,6.375
44,9,4.9,6.437
42,15,5.6,5.755
8,5,5.1,6.3
15,15,4.8,6.619
58,4,6.5,4.883
81,10,6.2,5.23
