species,mycorrhiza
Actinodaphne lancifolia,AM
Actinoscirpus grossus,non-AM
Actinoscirpus grossus,nm
Actinostachys pennula,AM
Actinostemon  concolor ,AM
Actinostemon  concolor ,AM
Actinostemon  concolor ,AM
Actinostemon concolor,AM
Actinostemon concolor,AM
Actinostrobus acuminatus,non-EcM
Actinostrobus pyramidalis,AM
Actinostrobus pyramidalis,non-EcM
Actinotus helianthi,AM
Actinotus minor,AM
Actinotus minor,AM
Acystopteris tenuisecta,AM
Adansonia digitata,AM
Adelia brandegeei,AM
Adelia brandegeei,AM
Adenanthera pavonina,AM
Adenanthera pavonina,AM
Adenanthera pavonina,AM
Adenanthera pavonina,AM
Adenanthera pavonina,AM
Adenanthera pavonina,AM
Adenanthera pavonina,AM
Adenanthos barbigerus,nm
Adenanthos barbigerus,nm
Adenium obesum,AM
Adenium obesum,AM
Adenocaulon bicolor,AM
Adenocaulon chilense,AM
Adenocaulon himalaicum,AM
Adenophora liliifolia,AM
Adenophora liliifolia,AM
Adenophora liliifolia,AM
Adenophora liliifolia,AM
Adenophora liliifolia,AM
Adenophora remotiflora,AM
Adenophora triphylla,non-AM
Adenophora triphylla,AM
Adenostoma fasciculatum,dual
Adenostoma fasciculatum,dual
Adenostyles alliariae,nm
Adesmia,nm
Adesmia filifolia,AM
Adesmia longipes,AM
Adesmia retusa,AM
Adesmia tenella,AM
Adiantum,AM
Adiantum,AM
Adiantum andicola,AM
Adiantum andicola,nm
Adiantum andicola,AM
Adiantum andicola,AM
Adiantum bonatianum,AM
Adiantum capillus-veneris,nm
Adiantum capillus-veneris,AM
Adiantum capillus-veneris,AM
Adiantum capillus-veneris,nm
Adiantum capillus-veneris,AM
Adiantum capillus-veneris,nm
Adiantum capillus-veneris,AM
Adiantum capillus-veneris,AM
Adiantum capillus-veneris,nm
Adiantum caudatum,AM
Adiantum caudatum,AM
Adiantum chilense var. sulphureum,AM
Adiantum chilense var. sulphureum,AM
Adiantum concinnum,nm
Adiantum cunninghamii,AM
Adiantum diaphanum,AM
Adiantum edgeworthii,AM
Adiantum edgeworthii,AM
Adiantum flabellulatum,AM
Adiantum flabellulatum,AM
Adiantum flabellulatum,nm
Adiantum fulvum,AM
Adiantum hispidulum,AM
Adiantum hispidulum,AM
Adiantum hispidulum,AM
Adiantum hispidulum,AM
Adiantum hispidulum,AM
Adiantum humile,AM
Adiantum humile,AM
Adiantum humile,AM
Adiantum incisum,AM
Adiantum incisum,AM
Adiantum incisum,AM
Adiantum incisum,AM
Adiantum lunulatum,AM
Adiantum lunulatum,AM
Adiantum lunulatum,AM
Adiantum malesianum,AM
Adiantum monochlamys,AM
Adiantum pedatum,AM
Adiantum pedatum,nm
Adiantum pedatum,nm
Adiantum pedatum,AM
Adiantum pedatum,AM
Adiantum poiretii,nm
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum raddianum,AM
Adiantum trapeziforme,nm
Adiantum zollingeri,AM
Adonis aestivalis,AM
Adonis aestivalis subparviflora,AM
Adonis amurensis,AM
Adonis turkestanica,AM
Adonis turkestanica,AM
Adonis vernalis,AM
Adonis vernalis,AM
Adonis vernalis,AM
Adoxa moschatellina,AM
Adoxa moschatellina,AM
Adoxa moschatellina,nm
Adoxa moschatellina,nm
Adoxa moschatellina,nm
Adoxa moschatellina,nm
Adoxa moschatellina,AM
Adoxa moschatellina,nm
Adoxa moschatellina,nm
Adoxa moschatellina,nm
Adoxa moschatellina,nm
Aechmea,nm
Aechmea calyculata,nm
Aechmea calyculata,nm
Aechmea caudata,nm
Aechmea caudata,nm
Aechmea nudicaulis,nm
Aechmea recurvata,nm
Aechmea stelligera,nm
Aegialitis rotundifolia,nm
Aegiceras corniculatum,non-AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,non-AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,non-AM
Aegiceras corniculatum,non-AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,nm
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegiceras corniculatum,AM
Aegilops crassa,AM
Aegilops crassa,AM
Aegilops cylindrica,nm
Aegilops cylindrica,nm
Aegilops juvenalis,AM
Aegilops speltoides,AM
Aegilops speltoides,AM
Aegilops tauschii,AM
Aegilops tauschii,AM
Aegilops tauschii,AM
Aegilops triuncialis,AM
Aegilops triuncialis,nm
Aegilops triuncialis,nm
Aegiphila sellowiana,AM
Aegiphila sellowiana,AM
Aegiphila sellowiana,AM
Aegiphila verticillata,AM
Aegiphila verticillata,AM
Aegle marmelos,AM
Aegle marmelos,non-AM
Aegle marmelos,AM
Aegle marmelos,AM
Aegle marmelos,AM
Aegle marmelos,AM
Aegle marmelos,AM
Aegle marmelos,AM
Aegle marmelos,AM
Aegopodium alpestre,AM
Aegopodium alpestre,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,nm
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,nm
Aegopodium podagraria,nm
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aegopodium podagraria,AM
Aeluropus lagopoides,non-AM
Aeluropus lagopoides,nm
Aeluropus lagopoides,nm
Aeluropus littoralis,AM
Aeluropus littoralis,AM
Aeonium decorum,AM
Aerva javanica,non-AM
Aerva javanica,non-AM
Aerva javanica,AM
Aerva javanica,nm
Aerva javanica,AM
Aerva javanica,nm
Aerva javanica,nm
Aerva javanica,AM
Aerva javanica,AM
Aerva javanica,AM
Aerva javanica var. bovei,nm
Aerva lanata,non-AM
Aerva lanata,nm
Aerva lanata,non-AM
Aerva lanata,nm
Aerva lanata,nm
